city_name,clouds,humidity,lat,lon,temp,wind_speed
Hofn,92,100,61.486205922309864,-14.515812485243003,39.26,24.79
Nemuro,56,91,41.267886617471476,147.3597322433012,35.48,22.32
Pali,0,78,25.738568813088975,73.04337620918437,62.66,5.21
Albany,75,69,-83.66687745532741,116.28416483053792,31.62,13.87
Arraial do Cabo,20,83,-31.880923060536283,-37.58558112279866,80.6,14.99
New Norfolk,75,51,-82.63573378817226,125.63922029006835,60.8,11.41
Port Alfred,80,92,-88.94612714566416,52.048001899445524,66.44,7.45
Port-Gentil,20,83,-5.175215168337516,0.13011444010001583,82.4,9.17
Bluff,0,46,-88.99152736015847,159.75813948624653,81.65,9.46
Tuktoyaktuk,90,85,83.10636941817364,-127.13556014899677,10.4,18.34
Esperance,20,74,-40.248986060721776,121.68620430331782,78.8,9.17
Bluff,0,46,-54.49460656808539,164.04519547037626,81.65,9.46
Kapaa,90,94,37.32556538214632,-167.37165081542915,72.43,9.17
Lorengau,68,99,-2.73262212825702,147.503351743424,83.27,8.12
Busselton,80,100,-53.19772157964372,86.80199153848582,69.14,10.58
Alofi,75,70,-19.08589263808676,-169.39589000148254,84.2,10.29
Atuona,76,100,-0.6748855763562887,-131.9495774140937,80.48,14.5
Butaritari,80,100,14.099035132168694,170.88995344349104,82.91,13.04
Katsuura,20,66,23.475374742513694,148.487273631658,55.4,6.93
Wagar,0,29,16.61142107405489,36.85785618409628,56.0,4.99
Cape Town,75,82,-52.840594363471624,-2.6333872115859265,64.4,13.87
Rikitea,0,100,-28.387926582969108,-106.25764403937805,82.1,8.23
Atuona,76,100,-2.985672346198484,-145.9538941231719,80.48,14.5
Comodoro Rivadavia,40,38,-48.573423068107374,-62.6067112133787,60.8,12.75
Rikitea,0,100,-44.93906363871739,-128.7618608265744,82.1,8.23
Bredasdorp,92,88,-47.128507614784155,22.1310928027101,66.2,11.41
Aranos,92,28,-25.423933555322577,19.069843315737387,79.4,5.21
Saint-Philippe,90,96,-50.88185628685372,65.49459703309589,32.11,6.93
Ahipara,80,75,-36.91426968589718,171.9713492961289,68.96,3.2
Mar del Plata,12,47,-54.23272890585766,-50.58004108768168,56.18,16.17
Bluff,0,46,-87.41937038504635,165.17366483392243,81.65,9.46
Tiksi,48,42,89.82456506424296,124.57097146548813,-27.26,4.43
Tigil,24,84,57.58601864409388,158.5006005654887,2.81,5.77
Sinnamary,92,98,19.639446907285844,-43.34029989942081,78.86,12.82
Bandarbeyla,92,100,5.077462417421344,59.621871142237495,76.34,10.47
Thompson,75,37,81.18271184793403,-95.40888238549145,17.6,4.7
Albany,75,69,-72.8250682260851,114.48495252971458,31.62,13.87
Rikitea,0,100,-72.82120899772693,-127.97931026014953,82.1,8.23
Rikitea,0,100,-43.78431841585125,-125.752062821704,82.1,8.23
Mackenzie,20,60,55.6979843662337,-122.27009749813334,39.2,4.7
Port Blair,0,100,11.227639867506213,87.42630424836847,82.55,8.23
Kodiak,1,17,50.36006376298511,-157.1250683717959,66.2,13.87
Pangnirtung,40,76,61.56337742005695,-63.626150475356255,-11.21,4.7
Zhigansk,0,60,68.22581546331048,126.02074441426993,-20.6,2.53
Hobart,75,59,-72.73472700124546,140.54257369954615,60.8,2.24
Lithakia,40,76,35.4397793870144,19.160378284085965,53.6,9.24
Aykhal,20,33,68.17129377611906,107.0393067764175,-23.48,2.64
Taoudenni,0,24,24.45676793499932,-1.6318658476955932,62.3,2.98
Camacha,75,93,37.57699774660718,-17.512037553018104,59.23,12.75
Busselton,80,100,-49.38891026455165,104.67323642876738,69.14,10.58
Arraial do Cabo,20,83,-39.402406759595785,-29.415230388719948,80.6,14.99
Albany,75,69,-87.81913644913445,109.45136377486159,31.62,13.87
Charters Towers,0,89,-20.69265071035774,146.03088094255446,78.05,4.54
Kapaa,90,94,36.269865930409594,-168.9245127958159,72.43,9.17
Amarante do Maranhao,76,94,-4.391272127285859,-46.951445486089796,74.9,0.4
New Norfolk,75,51,-60.952000079407654,134.7429193118342,60.8,11.41
Half Moon Bay,1,81,29.86703287366244,-137.2674198648213,54.59,9.17
Ushuaia,20,75,-82.18076667248776,-74.83811028074709,42.8,24.16
Bambous Virieux,40,78,-28.066393734376675,76.14397906077568,80.6,17.22
Severo-Kurilsk,64,100,42.04085405982846,159.72334201919472,27.92,28.81
Rikitea,0,100,-78.62167443888697,-126.89321128383165,82.1,8.23
Hermanus,92,99,-69.15301677564138,12.812991640014701,62.84,3.53
College,90,92,67.52411630449367,-148.21226856374338,27.23,6.93
Vardo,90,47,71.03216766671568,31.59687269440093,34.41,24.16
Butaritari,80,100,18.38325933180218,157.47825379655433,82.91,13.04
Orasac,75,87,44.58904931768964,16.21984411200009,46.4,1.12
Rikitea,0,100,-18.011236083001478,-117.58278693177135,82.1,8.23
Guiratinga,20,86,-15.570308567893974,-54.13210681288969,77.42,4.21
Port Alfred,80,92,-78.35122151092227,43.37199138566456,66.44,7.45
Bluff,0,46,-67.68594608156974,166.19230329872852,81.65,9.46
Mataura,76,68,-36.909538557595994,-144.64131125669255,64.46,16.73
Miracema do Tocantins,44,96,-9.086197972276125,-47.49609893436954,72.74,2.42
Le Vauclin,20,69,15.871352440133776,-58.52708026553091,79.81,9.17
Locri,40,87,36.492120657457264,17.93704856984934,54.5,3.36
Hasaki,40,93,34.477349444639145,148.95784499326356,51.8,4.7
Port Alfred,80,92,-77.59564329628189,40.0766899639664,66.44,7.45
Sao Joao da Barra,0,83,-30.576019263438496,-24.4010692769931,78.8,3.36
Beringovskiy,0,100,60.02147674929611,176.38404214111847,0.47,14.27
Bull Savanna,92,95,15.244118352577999,-77.50792684363657,72.11,1.74
Byron Bay,90,83,-28.82015329975293,154.2307827993747,73.4,12.75
Somerset East,0,94,-32.51594222328364,25.50817821962471,55.19,2.08
San Patricio,12,87,4.766384999254768,-117.90445383280273,81.38,5.44
Navolato,75,48,24.083806275258183,-108.1636250159237,86.0,5.21
La Democracia,44,75,14.235281081703818,-90.9305182958698,66.44,0.74
Okhotsk,0,100,59.128649136314834,146.37929396154198,-0.8,4.09
Carnarvon,32,52,-28.780445582558485,101.9250294020739,53.12,6.11
Aksu,48,91,38.05800813003279,80.92448278662164,3.2,2.24
Kahului,40,65,28.07518931273161,-151.4517742187222,79.29,17.22
Butaritari,80,100,25.672418449897066,165.24395050142635,82.91,13.04
East London,0,100,-80.04617924707269,56.44458039643595,69.5,8.46
Quesnel,92,100,53.25229446661709,-122.20071350061683,38.45,2.53
Kieta,92,100,-0.9336268896003048,160.29477161629603,75.71,2.98
Hilo,90,94,4.29233761716759,-158.54226664593847,67.42,6.93
Albany,75,69,-69.34728187370101,103.64314125124878,31.62,13.87
Katsuura,20,66,28.08310191314858,144.46368834211114,55.4,6.93
Punta Arenas,75,98,-61.6007817542678,-84.81561349035931,46.4,16.11
Talnakh,76,81,78.67599426398417,89.07793014936942,5.69,21.09
Cape Town,75,82,-65.87297329946679,-0.5731926453405549,64.4,13.87
Namibe,24,100,-20.22068038292258,5.501247212308158,75.8,4.21
Atuona,76,100,6.991142777645479,-132.39699044239012,80.48,14.5
Beroroha,0,63,-21.221973878943317,45.11107196215829,73.1,5.44
Ushuaia,20,75,-71.9499947363219,-67.68610358838426,42.8,24.16
Anadyr,90,83,62.993312831526225,173.59661349124406,-5.81,24.61
Rikitea,0,100,-67.90955796291294,-139.84717100857463,82.1,8.23
Puerto Ayora,20,74,-0.5559205554748274,-107.3461115927218,84.2,6.93
Dunedin,92,65,-55.79877976661619,179.31003794015794,62.03,9.8
Norman Wells,40,91,75.9863169718484,-119.46466846019882,32.0,16.11
Mount Gambier,64,77,-54.11323262639699,128.78225725571622,63.11,3.42
Punta Arenas,75,98,-85.31631150212212,-98.57698546131238,46.4,16.11
Tecoanapa,5,83,13.720830542824487,-99.9600275669738,80.6,5.82
Yatou,75,94,34.827337467760216,122.74102414447299,80.6,5.82
Nishihara,1,54,20.582135757672475,135.2343454677913,56.32,1.52
Bulgan,0,54,48.165810181689295,103.87267116319168,-3.05,2.75
Sao Filipe,0,95,14.64462299329793,-26.906477212431753,71.03,18.63
Calama,0,30,-21.61899428450573,-67.7587897099998,69.8,21.92
Chapais,90,86,52.86717304294726,-74.65076232414077,32.0,6.93
Cabinda,92,100,-6.929556256433941,8.142057326335731,80.48,7.78
Pangoa,76,92,-11.620624339185213,-73.37194012186421,68.78,1.52
Longyearbyen,20,84,87.32335082626736,14.071056629432888,6.8,3.36
San Cristobal,75,48,0.3376359078292239,-87.5953725071446,64.4,20.8
Luneburg,76,92,53.186081850388405,10.264446264772346,36.75,5.82
Auki,0,45,-4.241123767208535,165.05279418549577,65.54,3.42
Tiksi,48,42,89.57960421284037,126.17381335998374,-27.26,4.43
Pangnirtung,40,76,65.95624449910423,-64.52170062338338,-11.21,4.7
Dunedin,92,65,-47.76476191478171,171.9303575092008,62.03,9.8
Clyde River,1,68,72.74097934648282,-62.88635486693458,-20.21,17.22
Beatrice,1,20,40.640825706109126,-97.41688319010132,69.12,12.75
Madarounfa,0,40,13.202162570500235,7.282064642788697,67.43,3.98
Tuatapere,48,89,-60.11430313872957,155.8164600889035,61.76,15.61
Katsuura,20,66,23.298647467152108,148.64933696694237,55.4,6.93
Ribeira Grande,88,100,26.858642559743927,-41.903337034664446,59.33,18.19
Saint-Michel-des-Saints,92,77,48.16775260746152,-74.32322405965013,27.74,6.11
Geraldton,90,79,-28.169053476534792,113.52738685938408,26.6,13.87
Singaparna,24,93,-7.68949614620071,107.87579589508454,66.71,1.63
Busselton,80,100,-49.041624601526614,101.46265107043178,69.14,10.58
Bluff,0,46,-86.44844166818956,172.39795692068526,81.65,9.46
Port Elizabeth,20,44,-53.506620240076586,28.95693765687514,37.74,21.92
Vallenar,0,83,-27.87827760336927,-71.07424825142158,62.39,1.97
Cape Town,75,82,-63.45041911371506,-12.25316947183373,64.4,13.87
Torbay,20,100,32.92324262934977,-46.23343617350335,35.6,17.22
Albany,75,69,-56.47190064973432,107.57104410494395,31.62,13.87
Fort Nelson,75,34,58.88785061152677,-123.53512258447856,48.2,2.42
Jamestown,32,96,-50.12289231213988,-17.524824435082564,62.75,4.09
Coquimbo,0,67,-29.033130495509432,-87.84014340467473,62.6,6.93
Ushuaia,20,75,-78.21413526048224,-43.097255243817614,42.8,24.16
Dikson,68,100,77.6703836956244,78.33456348472697,-4.49,28.59
Vanimo,88,100,2.142258290062145,140.76330100449644,79.4,12.15
Cape Town,75,82,-51.622862717836824,-6.413942870220154,64.4,13.87
